billing_id,order_id,payment_id,email,voucher_id,final_amount,status_of_payment
0,0,0,dbeckendt@fema.gov,,12,paid
1,0,1,dbeckendt@fema.gov,,3.99,paid
2,1,0,rvize8a@soundcloud.com,5QLUK,61,pending
3,1,1,rvize8a@soundcloud.com,5QLUK,1,paid
4,1,2,rvize8a@soundcloud.com,5QLUK,1,paid
5,1,3,rvize8a@soundcloud.com,5QLUK,0.96,pending
6,2,0,dpavlovsky7y@gravatar.com,VKMFJ,308,pending
7,2,1,dpavlovsky7y@gravatar.com,VKMFJ,548.44,pending
8,4,0,sacres5d@google.nl,,85,pending
9,4,1,sacres5d@google.nl,,92,paid
10,4,2,sacres5d@google.nl,,21,paid
11,4,3,sacres5d@google.nl,,13.96,paid
12,5,0,nnovacek5a@hibu.com,BO9KC,208,pending
13,5,1,nnovacek5a@hibu.com,BO9KC,98,paid
14,5,2,nnovacek5a@hibu.com,BO9KC,9,pending
15,5,3,nnovacek5a@hibu.com,BO9KC,32.6,paid
16,6,0,hkrolak3q@vk.com,,69.14,pending
17,7,0,ykaveney59@soup.io,K68WZ,-16,pending
18,8,0,pussher4v@washington.edu,2JCQQ,93.9,paid
19,9,0,ykillbeyj1@auda.org.au,,156.2,pending
20,10,0,igarlicke5l@sun.com,,539.85,paid
21,11,0,bjemmisonp@apache.org,,348.69,pending
22,15,0,lfyldes46@phoca.cz,IVZIZ,124,pending
23,15,1,lfyldes46@phoca.cz,IVZIZ,233.37,paid
24,16,0,adobrovolnyo4@linkedin.com,NWJ03,922,pending
25,16,1,adobrovolnyo4@linkedin.com,NWJ03,3,paid
26,16,2,adobrovolnyo4@linkedin.com,NWJ03,71,paid
27,16,3,adobrovolnyo4@linkedin.com,NWJ03,31.17,pending
28,18,0,htittletross2w@craigslist.org,I68SK,112,paid
29,18,1,htittletross2w@craigslist.org,I68SK,329,paid
30,18,2,htittletross2w@craigslist.org,I68SK,180,pending
31,18,3,htittletross2w@craigslist.org,I68SK,40.93,paid
32,19,0,tsantora8u@theguardian.com,LTGV0,5,paid
33,19,1,tsantora8u@theguardian.com,LTGV0,5,pending
34,19,2,tsantora8u@theguardian.com,LTGV0,1,pending
35,21,0,gparfitty@ehow.com,,135,pending
36,21,1,gparfitty@ehow.com,,81,paid
37,21,2,gparfitty@ehow.com,,18.81,pending
38,22,0,gdigiacomettinon@nps.gov,,51,pending
39,22,1,gdigiacomettinon@nps.gov,,2.94,paid
40,23,0,bculpencd@timesonline.co.uk,4W6S0,211.43,pending
41,25,0,wpotkin8@dot.gov,,184.7,pending
42,26,0,mbenedtti80@google.cn,EQN91,694.27,pending
43,29,0,kjarleyjm@thetimes.co.uk,,599.99,paid
44,31,0,ccourtino7@google.it,,48,paid
45,31,1,ccourtino7@google.it,,15.45,pending
46,32,0,nohernr1@posterous.com,,145,paid
47,32,1,nohernr1@posterous.com,,17.49,pending
48,33,0,amurrayad@rediff.com,30V9J,531,pending
49,33,1,amurrayad@rediff.com,30V9J,89.92,pending
50,34,0,dletthv@ed.gov,,1828,pending
51,34,1,dletthv@ed.gov,,248,pending
52,34,2,dletthv@ed.gov,,84.51,paid
53,39,0,paidler3@theguardian.com,1XVLR,1161,paid
54,39,1,paidler3@theguardian.com,1XVLR,46,paid
55,39,2,paidler3@theguardian.com,1XVLR,7.52,pending
56,43,0,fgrigorld@comcast.net,JW6KQ,46.98,paid
57,44,0,rfoyster4t@t-online.de,,7213.69,pending
58,46,0,kkubackieo@microsoft.com,CEFRC,103,pending
59,46,1,kkubackieo@microsoft.com,CEFRC,44,pending
60,46,2,kkubackieo@microsoft.com,CEFRC,33.47,paid
61,47,0,eschruurnd@wikipedia.org,,24,pending
62,47,1,eschruurnd@wikipedia.org,,37,paid
63,47,2,eschruurnd@wikipedia.org,,11.51,paid
64,48,0,llittlefair2j@g.co,2DEU8,78,pending
65,48,1,llittlefair2j@g.co,2DEU8,1,paid
66,48,2,llittlefair2j@g.co,2DEU8,2.24,pending
67,49,0,lwacklyhq@weibo.com,6WB1O,346.49,paid
68,50,0,kkubackieo@microsoft.com,5UYIP,1,paid
69,50,1,kkubackieo@microsoft.com,5UYIP,1,paid
70,50,2,kkubackieo@microsoft.com,5UYIP,1.96,pending
71,51,0,ipregelkw@delicious.com,97LYZ,9,paid
72,51,1,ipregelkw@delicious.com,97LYZ,4,pending
73,51,2,ipregelkw@delicious.com,97LYZ,36,paid
74,51,3,ipregelkw@delicious.com,97LYZ,17.96,paid
75,52,0,gsimionatorr@oracle.com,,260,paid
76,52,1,gsimionatorr@oracle.com,,184.93,pending
77,53,0,cbisseker8p@blinklist.com,,2,paid
78,53,1,cbisseker8p@blinklist.com,,44,paid
