order_id,email,address_id,total_amount,date_of_order,date_of_service,status_of_order
0,dbeckendt@fema.gov,2,15.99,8/1/2023,11/8/2023,delivered
1,rvize8a@soundcloud.com,2,65.96,12/19/2022,,ordered
2,dpavlovsky7y@gravatar.com,0,864.44,9/3/2022,,ordered
3,kposner22@msn.com,1,535,5/24/2022,,cancelled
4,sacres5d@google.nl,3,211.96,1/19/2023,,ordered
5,nnovacek5a@hibu.com,2,363.6,8/10/2022,,ordered
6,hkrolak3q@vk.com,0,69.14,11/1/2023,,ordered
7,ykaveney59@soup.io,1,0,7/13/2022,,ordered
8,pussher4v@washington.edu,1,117.9,7/1/2023,,ordered
9,ykillbeyj1@auda.org.au,0,156.2,8/23/2022,12/12/2022,delivered
10,igarlicke5l@sun.com,1,539.85,4/6/2023,8/19/2023,delivered
11,bjemmisonp@apache.org,0,348.69,1/7/2022,,ordered
12,epapaeb@archive.org,0,124.22,1/1/2023,,cancelled
13,cfossitt3x@weebly.com,2,560,1/16/2022,,cancelled
14,callewellig@rambler.ru,0,59.95,9/12/2022,,cancelled
15,lfyldes46@phoca.cz,1,362.37,1/1/2022,,ordered
16,adobrovolnyo4@linkedin.com,2,1037.17,3/25/2022,11/2/2023,delivered
17,mwoollard6g@bbc.co.uk,0,1199.97,6/22/2023,,cancelled
18,htittletross2w@craigslist.org,0,684.93,4/8/2022,,ordered
19,tsantora8u@theguardian.com,3,30,11/3/2022,11/23/2022,delivered
20,malliotnp@eepurl.com,0,509.71,10/25/2022,,cancelled
21,gparfitty@ehow.com,0,234.81,4/3/2022,,ordered
22,gdigiacomettinon@nps.gov,0,53.94,7/3/2023,,ordered
23,bculpencd@timesonline.co.uk,1,218.43,12/13/2023,2/24/2024,delivered
24,nnovacek5a@hibu.com,1,55.5,11/17/2023,,cancelled
25,wpotkin8@dot.gov,0,184.7,12/2/2023,,ordered
26,mbenedtti80@google.cn,1,703.27,11/24/2023,,ordered
27,ihuffadine9d@chicagotribune.com,2,90,12/8/2022,,cancelled
28,kposner22@msn.com,2,1286.61,12/18/2023,,cancelled
29,kjarleyjm@thetimes.co.uk,2,599.99,10/10/2022,11/16/2022,delivered
30,vlegalle8v@chicagotribune.com,2,35.28,10/15/2022,,cancelled
31,ccourtino7@google.it,2,63.45,1/1/2023,,ordered
32,nohernr1@posterous.com,0,162.49,7/23/2022,12/3/2023,delivered
33,amurrayad@rediff.com,2,642.92,4/20/2022,10/1/2023,delivered
34,dletthv@ed.gov,1,2160.51,7/4/2022,9/24/2022,delivered
35,boxer4r@ow.ly,1,189.96,11/19/2022,,cancelled
36,kjarleyjm@thetimes.co.uk,1,31.98,7/22/2022,,cancelled
37,hwagenengk@mysql.com,1,1975.93,11/19/2022,,cancelled
38,tmccullyb3@who.int,1,65.94,6/4/2023,,cancelled
